order_id,order_date,state,product_category,quantity,unit_price,customer_segment
72,2024-01-01,Abuja,Home & Kitchen,14,63717.67,Wholesale
22,2024-01-02,Enugu,Beauty & Personal Care,17,19406.11,Retail
111,2024-01-09,Lagos,Home & Kitchen,13,56575.82,Retail
76,2024-01-13,Lagos,Phones & Accessories,20,154154.88,Retail
99,2024-01-14,Ogun,Sports & Fitness,13,56780.88,Retail
158,2024-01-15,Lagos,Electronics,10,99238.89,Retail
126,2024-01-17,Lagos,Beauty & Personal Care,15,3172.72,Retail
182,2024-01-17,Oyo,Home & Kitchen,15,37796.89,Retail
57,2024-01-22,Abuja,Electronics,12,64367.99,Retail
67,2024-01-23,Oyo,Electronics,17,232510.16,Retail
53,2024-01-27,Lagos,Sports & Fitness,9,7424.77,Retail
35,2024-01-28,Oyo,Fashion,2,19910.09,Retail
117,2024-01-28,Rivers,Food & Grocery,16,1679.76,Retail
42,2024-01-30,Rivers,Electronics,11,28433.84,Retail
184,2024-02-01,Abuja,Home & Kitchen,4,76124.82,Wholesale
156,2024-02-05,Lagos,Beauty & Personal Care,8,19049.01,Retail
48,2024-02-07,Lagos,Fashion,3,25580.64,Retail
125,2024-02-08,Lagos,Sports & Fitness,15,42915.41,Retail
173,2024-02-08,Lagos,Home & Kitchen,13,77512.5,Wholesale
8,2024-02-10,Rivers,Books & Stationery,19,2184.48,Retail
26,2024-02-10,Lagos,Phones & Accessories,3,176213.33,Retail
195,2024-02-11,Abuja,Food & Grocery,3,1951.2,Wholesale
185,2024-02-16,Oyo,Electronics,2,199896.73,Retail
75,2024-02-17,Delta,Home & Kitchen,10,21072.69,Retail
38,2024-02-20,Lagos,Electronics,3,232696.24,Wholesale
157,2024-02-20,Anambra,Fashion,15,9987.32,Retail
58,2024-02-22,Abuja,Sports & Fitness,20,46221.27,Corporate
23,2024-02-24,Kaduna,Beauty & Personal Care,17,15810.8,Retail
36,2024-02-25,Lagos,Home & Kitchen,18,38094.63,Retail
61,2024-02-25,Abuja,Electronics,16,67271.92,Wholesale
189,2024-02-26,Oyo,Electronics,5,18492.18,Wholesale
137,2024-02-29,Enugu,Sports & Fitness,17,50371.0,Retail
27,2024-03-05,Lagos,Phones & Accessories,18,36401.84,Retail
186,2024-03-05,Anambra,Home & Kitchen,3,67066.16,Retail
54,2024-03-07,Rivers,Beauty & Personal Care,6,18918.93,Retail
33,2024-03-08,Oyo,Phones & Accessories,8,142954.54,Wholesale
49,2024-03-08,Ogun,Fashion,8,18520.14,Retail
51,2024-03-09,Lagos,Fashion,18,9528.81,Retail
